Epoch:   1|train loss: 0.6023|train accuracy: 82.49|test accuracy: 85.62
Epoch:   2|train loss: 0.4404|train accuracy: 87.05|test accuracy: 87.07
Epoch:   3|train loss: 0.3701|train accuracy: 88.65|test accuracy: 87.73
Epoch:   4|train loss: 0.3446|train accuracy: 89.52|test accuracy: 88.51
Epoch:   5|train loss: 0.3388|train accuracy: 90.05|test accuracy: 88.76
Epoch:   6|train loss: 0.3248|train accuracy: 90.60|test accuracy: 88.22
Epoch:   7|train loss: 0.3101|train accuracy: 90.81|test accuracy: 89.04
Epoch:   8|train loss: 0.2872|train accuracy: 91.09|test accuracy: 89.08
Epoch:   9|train loss: 0.3426|train accuracy: 91.41|test accuracy: 89.55
Epoch:  10|train loss: 0.2749|train accuracy: 91.40|test accuracy: 89.76
Epoch:  11|train loss: 0.2676|train accuracy: 91.78|test accuracy: 89.31
Epoch:  12|train loss: 0.2987|train accuracy: 91.80|test accuracy: 89.74
Epoch:  13|train loss: 0.3019|train accuracy: 91.88|test accuracy: 90.24
Epoch:  14|train loss: 0.2999|train accuracy: 92.09|test accuracy: 89.90
Epoch:  15|train loss: 0.2645|train accuracy: 92.26|test accuracy: 89.63
Epoch:  16|train loss: 0.3286|train accuracy: 92.09|test accuracy: 89.76
Epoch:  17|train loss: 0.2731|train accuracy: 92.16|test accuracy: 89.65
Epoch:  18|train loss: 0.2954|train accuracy: 92.28|test accuracy: 90.18
Epoch:  19|train loss: 0.2873|train accuracy: 92.42|test accuracy: 89.38
Epoch:  20|train loss: 0.2646|train accuracy: 92.56|test accuracy: 90.29
Epoch:  21|train loss: 0.2621|train accuracy: 92.55|test accuracy: 89.40
Epoch:  22|train loss: 0.2544|train accuracy: 92.33|test accuracy: 90.18
