Epoch:   1|train loss: 1.5859|train accuracy: 58.19|test accuracy: 70.52
Epoch:   2|train loss: 1.0465|train accuracy: 70.97|test accuracy: 78.06
Epoch:   3|train loss: 0.8996|train accuracy: 74.95|test accuracy: 79.83
Epoch:   4|train loss: 0.7952|train accuracy: 77.07|test accuracy: 82.45
Epoch:   5|train loss: 0.7062|train accuracy: 79.12|test accuracy: 83.06
Epoch:   6|train loss: 0.7474|train accuracy: 79.53|test accuracy: 83.84
Epoch:   7|train loss: 0.6487|train accuracy: 80.12|test accuracy: 84.50
Epoch:   8|train loss: 0.7048|train accuracy: 81.87|test accuracy: 84.37
Epoch:   9|train loss: 0.6684|train accuracy: 80.38|test accuracy: 85.01
Epoch:  10|train loss: 0.6590|train accuracy: 81.94|test accuracy: 85.36
Epoch:  11|train loss: 0.5599|train accuracy: 82.86|test accuracy: 85.85
Epoch:  12|train loss: 0.5653|train accuracy: 84.26|test accuracy: 85.15
Epoch:  13|train loss: 0.7032|train accuracy: 82.26|test accuracy: 84.98
Epoch:  14|train loss: 0.5926|train accuracy: 82.39|test accuracy: 85.93
Epoch:  15|train loss: 0.4872|train accuracy: 85.09|test accuracy: 87.03
Epoch:  16|train loss: 0.4953|train accuracy: 85.41|test accuracy: 87.35
Epoch:  17|train loss: 0.5451|train accuracy: 84.54|test accuracy: 86.48
Epoch:  18|train loss: 0.4747|train accuracy: 85.85|test accuracy: 86.59
Epoch:  19|train loss: 0.4592|train accuracy: 86.74|test accuracy: 86.74
Epoch:  20|train loss: 0.4394|train accuracy: 86.41|test accuracy: 87.56
Epoch:  21|train loss: 0.4500|train accuracy: 87.44|test accuracy: 87.69
Epoch:  22|train loss: 0.4593|train accuracy: 85.49|test accuracy: 86.50
Epoch:  23|train loss: 0.4589|train accuracy: 87.21|test accuracy: 87.31
Epoch:  24|train loss: 0.4285|train accuracy: 87.56|test accuracy: 87.65
Epoch:  25|train loss: 0.5048|train accuracy: 86.15|test accuracy: 86.38
Epoch:  26|train loss: 0.4370|train accuracy: 86.93|test accuracy: 86.25
Epoch:  27|train loss: 0.4912|train accuracy: 86.50|test accuracy: 87.41
Epoch:  28|train loss: 0.4981|train accuracy: 86.23|test accuracy: 86.25
Epoch:  29|train loss: 0.4337|train accuracy: 86.89|test accuracy: 88.57
Epoch:  30|train loss: 0.4097|train accuracy: 87.71|test accuracy: 87.48
Epoch:  31|train loss: 0.3830|train accuracy: 88.51|test accuracy: 88.05
Epoch:  32|train loss: 0.4046|train accuracy: 88.24|test accuracy: 88.22
Epoch:  33|train loss: 0.4378|train accuracy: 87.01|test accuracy: 88.22
Epoch:  34|train loss: 0.4376|train accuracy: 88.44|test accuracy: 88.76
Epoch:  35|train loss: 0.4103|train accuracy: 88.06|test accuracy: 84.16
Epoch:  36|train loss: 0.4891|train accuracy: 85.81|test accuracy: 87.48
Epoch:  37|train loss: 0.4087|train accuracy: 87.91|test accuracy: 88.49
Epoch:  38|train loss: 0.3926|train accuracy: 88.77|test accuracy: 87.90
Epoch:  39|train loss: 0.3871|train accuracy: 88.27|test accuracy: 88.85
Epoch:  40|train loss: 0.4223|train accuracy: 88.15|test accuracy: 87.58
Epoch:  41|train loss: 0.4237|train accuracy: 88.08|test accuracy: 87.98
Epoch:  42|train loss: 0.3905|train accuracy: 88.25|test accuracy: 89.04
Epoch:  43|train loss: 0.4596|train accuracy: 87.04|test accuracy: 87.50
Epoch:  44|train loss: 0.4534|train accuracy: 88.02|test accuracy: 87.56
Epoch:  45|train loss: 0.5028|train accuracy: 86.26|test accuracy: 87.88
Epoch:  46|train loss: 0.4482|train accuracy: 87.72|test accuracy: 88.98
Epoch:  47|train loss: 0.3958|train accuracy: 89.02|test accuracy: 89.78
Epoch:  48|train loss: 0.4246|train accuracy: 89.46|test accuracy: 84.52
Epoch:  49|train loss: 0.4966|train accuracy: 85.37|test accuracy: 87.43
Epoch:  50|train loss: 0.4802|train accuracy: 88.48|test accuracy: 87.96
Epoch:  51|train loss: 0.3966|train accuracy: 88.56|test accuracy: 89.50
Epoch:  52|train loss: 0.3833|train accuracy: 89.19|test accuracy: 87.96
Epoch:  53|train loss: 0.4960|train accuracy: 88.60|test accuracy: 87.39
Epoch:  54|train loss: 0.4212|train accuracy: 88.03|test accuracy: 89.02
Epoch:  55|train loss: 0.5000|train accuracy: 89.30|test accuracy: 88.83
Epoch:  56|train loss: 0.4570|train accuracy: 87.56|test accuracy: 87.43
Epoch:  57|train loss: 0.3918|train accuracy: 88.94|test accuracy: 88.98
Epoch:  58|train loss: 0.3796|train accuracy: 89.33|test accuracy: 89.31
Epoch:  59|train loss: 0.3584|train accuracy: 89.62|test accuracy: 89.27
Epoch:  60|train loss: 0.3508|train accuracy: 89.27|test accuracy: 89.57
Epoch:  61|train loss: 0.3386|train accuracy: 90.25|test accuracy: 89.90
Epoch:  62|train loss: 0.3573|train accuracy: 90.24|test accuracy: 89.06
Epoch:  63|train loss: 0.4024|train accuracy: 88.44|test accuracy: 88.98
Epoch:  64|train loss: 0.3665|train accuracy: 90.21|test accuracy: 89.21
Epoch:  65|train loss: 0.3196|train accuracy: 90.41|test accuracy: 88.89
Epoch:  66|train loss: 0.3708|train accuracy: 90.34|test accuracy: 89.69
Epoch:  67|train loss: 0.3381|train accuracy: 89.93|test accuracy: 88.32
Epoch:  68|train loss: 0.3769|train accuracy: 88.88|test accuracy: 88.17
Epoch:  69|train loss: 0.3810|train accuracy: 88.71|test accuracy: 87.71
Epoch:  70|train loss: 0.3819|train accuracy: 89.78|test accuracy: 89.50
Epoch:  71|train loss: 0.3659|train accuracy: 89.19|test accuracy: 89.61
Epoch:  72|train loss: 0.3582|train accuracy: 89.18|test accuracy: 89.46
Epoch:  73|train loss: 0.3325|train accuracy: 89.93|test accuracy: 89.48
Epoch:  74|train loss: 0.3089|train accuracy: 90.30|test accuracy: 89.67
Epoch:  75|train loss: 0.3572|train accuracy: 90.26|test accuracy: 89.65
Epoch:  76|train loss: 0.3470|train accuracy: 89.93|test accuracy: 89.50
Epoch:  77|train loss: 0.3351|train accuracy: 90.64|test accuracy: 89.46
Epoch:  78|train loss: 0.3518|train accuracy: 90.07|test accuracy: 88.87
Epoch:  79|train loss: 0.3927|train accuracy: 89.00|test accuracy: 88.68
Epoch:  80|train loss: 0.3558|train accuracy: 90.23|test accuracy: 89.06
Epoch:  81|train loss: 0.4453|train accuracy: 89.64|test accuracy: 87.71
Epoch:  82|train loss: 0.4670|train accuracy: 87.24|test accuracy: 89.00
Epoch:  83|train loss: 0.3717|train accuracy: 88.97|test accuracy: 89.08
Epoch:  84|train loss: 0.3351|train accuracy: 89.84|test accuracy: 90.07
Epoch:  85|train loss: 0.3208|train accuracy: 90.44|test accuracy: 90.29
Epoch:  86|train loss: 0.3147|train accuracy: 91.00|test accuracy: 88.95
Epoch:  87|train loss: 0.3370|train accuracy: 90.15|test accuracy: 90.05
Epoch:  88|train loss: 0.3613|train accuracy: 90.96|test accuracy: 88.89
Epoch:  89|train loss: 0.3297|train accuracy: 89.82|test accuracy: 89.99
Epoch:  90|train loss: 0.3288|train accuracy: 90.55|test accuracy: 89.99
Epoch:  91|train loss: 0.2903|train accuracy: 91.53|test accuracy: 90.29
Epoch:  92|train loss: 0.3463|train accuracy: 90.52|test accuracy: 90.35
Epoch:  93|train loss: 0.4780|train accuracy: 89.90|test accuracy: 89.52
Epoch:  94|train loss: 0.3085|train accuracy: 90.42|test accuracy: 90.20
Epoch:  95|train loss: 0.3322|train accuracy: 90.65|test accuracy: 89.76
Epoch:  96|train loss: 0.3071|train accuracy: 91.23|test accuracy: 88.89
Epoch:  97|train loss: 0.3699|train accuracy: 89.71|test accuracy: 89.50
Epoch:  98|train loss: 0.3245|train accuracy: 91.30|test accuracy: 89.48
Epoch:  99|train loss: 0.3238|train accuracy: 90.40|test accuracy: 89.74
Epoch: 100|train loss: 0.3728|train accuracy: 90.61|test accuracy: 85.53
Epoch: 101|train loss: 0.4269|train accuracy: 88.31|test accuracy: 87.43
Epoch: 102|train loss: 0.3313|train accuracy: 90.18|test accuracy: 89.86
Epoch: 103|train loss: 0.4447|train accuracy: 90.38|test accuracy: 89.55
Epoch: 104|train loss: 0.3310|train accuracy: 90.24|test accuracy: 89.90
Epoch: 105|train loss: 0.3336|train accuracy: 90.83|test accuracy: 87.22
Epoch: 106|train loss: 0.3955|train accuracy: 88.48|test accuracy: 88.79
Epoch: 107|train loss: 0.3441|train accuracy: 91.05|test accuracy: 89.52
Epoch: 108|train loss: 0.3486|train accuracy: 89.56|test accuracy: 89.21
Epoch: 109|train loss: 0.3591|train accuracy: 90.25|test accuracy: 89.88
Epoch: 110|train loss: 0.3618|train accuracy: 90.86|test accuracy: 88.53
Epoch: 111|train loss: 0.3695|train accuracy: 88.96|test accuracy: 89.44
Epoch: 112|train loss: 0.3304|train accuracy: 90.01|test accuracy: 90.05
Epoch: 113|train loss: 0.3143|train accuracy: 91.25|test accuracy: 90.18
Epoch: 114|train loss: 0.2866|train accuracy: 91.57|test accuracy: 89.80
Epoch: 115|train loss: 0.3727|train accuracy: 90.79|test accuracy: 88.26
Epoch: 116|train loss: 0.3107|train accuracy: 90.48|test accuracy: 90.48
Epoch: 117|train loss: 0.2831|train accuracy: 91.67|test accuracy: 90.69
Epoch: 118|train loss: 0.3379|train accuracy: 91.17|test accuracy: 90.39
Epoch: 119|train loss: 0.2975|train accuracy: 91.28|test accuracy: 90.22
Epoch: 120|train loss: 0.2885|train accuracy: 91.94|test accuracy: 90.52
Epoch: 121|train loss: 0.3194|train accuracy: 90.99|test accuracy: 89.76
Epoch: 122|train loss: 0.4060|train accuracy: 91.07|test accuracy: 89.48
Epoch: 123|train loss: 0.3983|train accuracy: 88.66|test accuracy: 89.55
Epoch: 124|train loss: 0.3402|train accuracy: 91.05|test accuracy: 89.78
Epoch: 125|train loss: 0.4195|train accuracy: 89.73|test accuracy: 89.44
Epoch: 126|train loss: 0.2812|train accuracy: 91.58|test accuracy: 90.24
Epoch: 127|train loss: 0.2716|train accuracy: 92.09|test accuracy: 90.69
Epoch: 128|train loss: 0.4107|train accuracy: 90.90|test accuracy: 89.88
Epoch: 129|train loss: 0.3439|train accuracy: 90.85|test accuracy: 89.44
Epoch: 130|train loss: 0.3037|train accuracy: 90.92|test accuracy: 90.05
Epoch: 131|train loss: 0.3358|train accuracy: 91.46|test accuracy: 88.57
Epoch: 132|train loss: 0.3749|train accuracy: 90.81|test accuracy: 88.60
Epoch: 133|train loss: 0.3094|train accuracy: 90.83|test accuracy: 89.80
Epoch: 134|train loss: 0.3361|train accuracy: 90.84|test accuracy: 90.18
Epoch: 135|train loss: 0.2788|train accuracy: 91.90|test accuracy: 89.46
Epoch: 136|train loss: 0.3387|train accuracy: 90.59|test accuracy: 90.20
Epoch: 137|train loss: 0.2927|train accuracy: 91.44|test accuracy: 89.90
Epoch: 138|train loss: 0.3631|train accuracy: 90.37|test accuracy: 89.29
Epoch: 139|train loss: 0.3843|train accuracy: 90.20|test accuracy: 89.57
Epoch: 140|train loss: 0.3080|train accuracy: 91.28|test accuracy: 90.07
Epoch: 141|train loss: 0.3654|train accuracy: 90.48|test accuracy: 89.52
Epoch: 142|train loss: 0.3093|train accuracy: 90.88|test accuracy: 90.22
Epoch: 143|train loss: 0.3066|train accuracy: 91.36|test accuracy: 89.78
Epoch: 144|train loss: 0.2923|train accuracy: 90.80|test accuracy: 90.39
Epoch: 145|train loss: 0.2772|train accuracy: 92.09|test accuracy: 90.16
Epoch: 146|train loss: 0.3179|train accuracy: 91.34|test accuracy: 89.93
Epoch: 147|train loss: 0.3827|train accuracy: 91.94|test accuracy: 88.66
Epoch: 148|train loss: 0.3805|train accuracy: 89.90|test accuracy: 88.24
Epoch: 149|train loss: 0.3381|train accuracy: 89.60|test accuracy: 89.69
Epoch: 150|train loss: 0.2989|train accuracy: 91.71|test accuracy: 90.22
Epoch: 151|train loss: 0.3098|train accuracy: 91.11|test accuracy: 90.07
Epoch: 152|train loss: 0.3021|train accuracy: 91.72|test accuracy: 90.26
Epoch: 153|train loss: 0.3008|train accuracy: 91.12|test accuracy: 89.93
Epoch: 154|train loss: 0.2876|train accuracy: 91.81|test accuracy: 90.01
Epoch: 155|train loss: 0.2559|train accuracy: 92.32|test accuracy: 90.33
Epoch: 156|train loss: 0.2841|train accuracy: 91.58|test accuracy: 90.67
Epoch: 157|train loss: 0.2896|train accuracy: 92.47|test accuracy: 90.83
Epoch: 158|train loss: 0.2904|train accuracy: 91.34|test accuracy: 89.25
Epoch: 159|train loss: 0.3509|train accuracy: 90.65|test accuracy: 89.31
Epoch: 160|train loss: 0.3738|train accuracy: 89.92|test accuracy: 89.12
Epoch: 161|train loss: 0.3240|train accuracy: 90.82|test accuracy: 90.43
Epoch: 162|train loss: 0.3095|train accuracy: 90.66|test accuracy: 89.36
Epoch: 163|train loss: 0.2698|train accuracy: 91.81|test accuracy: 91.17
Epoch: 164|train loss: 0.2903|train accuracy: 91.88|test accuracy: 88.51
Epoch: 165|train loss: 0.2786|train accuracy: 91.55|test accuracy: 90.67
Epoch: 166|train loss: 0.2745|train accuracy: 92.04|test accuracy: 90.50
Epoch: 167|train loss: 0.3234|train accuracy: 91.14|test accuracy: 90.05
Epoch: 168|train loss: 0.3542|train accuracy: 91.76|test accuracy: 89.12
Epoch: 169|train loss: 0.3490|train accuracy: 90.05|test accuracy: 89.55
Epoch: 170|train loss: 0.3147|train accuracy: 92.01|test accuracy: 87.22
Epoch: 171|train loss: 0.3946|train accuracy: 89.55|test accuracy: 89.52
Epoch: 172|train loss: 0.2865|train accuracy: 91.53|test accuracy: 90.88
Epoch: 173|train loss: 0.2656|train accuracy: 92.16|test accuracy: 90.81
Epoch: 174|train loss: 0.2910|train accuracy: 91.90|test accuracy: 90.79
Epoch: 175|train loss: 0.3887|train accuracy: 91.17|test accuracy: 89.95
Epoch: 176|train loss: 0.4089|train accuracy: 90.74|test accuracy: 89.67
Epoch: 177|train loss: 0.3114|train accuracy: 90.97|test accuracy: 89.95
Epoch: 178|train loss: 0.3150|train accuracy: 91.81|test accuracy: 89.59
Epoch: 179|train loss: 0.3384|train accuracy: 91.32|test accuracy: 90.62
Epoch: 180|train loss: 0.3284|train accuracy: 91.93|test accuracy: 89.42
Epoch: 181|train loss: 0.3465|train accuracy: 90.77|test accuracy: 87.71
Epoch: 182|train loss: 0.3452|train accuracy: 91.19|test accuracy: 90.24
Epoch: 183|train loss: 0.3878|train accuracy: 89.34|test accuracy: 88.43
Epoch: 184|train loss: 0.2972|train accuracy: 91.69|test accuracy: 90.71
Epoch: 185|train loss: 0.2930|train accuracy: 91.93|test accuracy: 90.83
Epoch: 186|train loss: 0.3827|train accuracy: 91.20|test accuracy: 87.90
Epoch: 187|train loss: 0.3388|train accuracy: 90.01|test accuracy: 89.93
Epoch: 188|train loss: 0.2940|train accuracy: 91.70|test accuracy: 91.05
Epoch: 189|train loss: 0.2922|train accuracy: 92.31|test accuracy: 90.92
Epoch: 190|train loss: 0.2981|train accuracy: 91.98|test accuracy: 91.07
Epoch: 191|train loss: 0.2980|train accuracy: 92.10|test accuracy: 90.14
Epoch: 192|train loss: 0.3044|train accuracy: 91.94|test accuracy: 89.63
Epoch: 193|train loss: 0.2942|train accuracy: 91.77|test accuracy: 90.50
Epoch: 194|train loss: 0.3372|train accuracy: 91.27|test accuracy: 89.27
Epoch: 195|train loss: 0.3804|train accuracy: 90.12|test accuracy: 89.78
Epoch: 196|train loss: 0.2882|train accuracy: 91.37|test accuracy: 90.79
Epoch: 197|train loss: 0.2773|train accuracy: 92.68|test accuracy: 90.52
Epoch: 198|train loss: 0.2709|train accuracy: 91.92|test accuracy: 88.00
Epoch: 199|train loss: 0.3116|train accuracy: 91.72|test accuracy: 90.03
Epoch: 200|train loss: 0.3105|train accuracy: 92.05|test accuracy: 89.84
Epoch: 201|train loss: 0.2878|train accuracy: 91.38|test accuracy: 90.79
Epoch: 202|train loss: 0.2534|train accuracy: 92.32|test accuracy: 90.67
Epoch: 203|train loss: 0.2693|train accuracy: 92.80|test accuracy: 90.52
Epoch: 204|train loss: 0.3181|train accuracy: 91.76|test accuracy: 87.73
Epoch: 205|train loss: 0.3006|train accuracy: 91.05|test accuracy: 89.40
Epoch: 206|train loss: 0.3054|train accuracy: 91.03|test accuracy: 90.20
Epoch: 207|train loss: 0.3079|train accuracy: 92.11|test accuracy: 90.83
Epoch: 208|train loss: 0.3302|train accuracy: 90.87|test accuracy: 88.83
Epoch: 209|train loss: 0.2746|train accuracy: 91.98|test accuracy: 90.71
Epoch: 210|train loss: 0.2618|train accuracy: 92.07|test accuracy: 90.56
Epoch: 211|train loss: 0.2589|train accuracy: 92.95|test accuracy: 89.50
Epoch: 212|train loss: 0.3004|train accuracy: 91.53|test accuracy: 89.06
Epoch: 213|train loss: 0.3239|train accuracy: 90.96|test accuracy: 88.45
Epoch: 214|train loss: 0.3394|train accuracy: 90.64|test accuracy: 89.80
Epoch: 215|train loss: 0.3362|train accuracy: 90.84|test accuracy: 90.31
Epoch: 216|train loss: 0.3024|train accuracy: 91.61|test accuracy: 89.33
Epoch: 217|train loss: 0.3586|train accuracy: 91.59|test accuracy: 86.23
Epoch: 218|train loss: 0.3338|train accuracy: 90.45|test accuracy: 89.78
Epoch: 219|train loss: 0.2586|train accuracy: 92.60|test accuracy: 91.09
Epoch: 220|train loss: 0.2460|train accuracy: 92.78|test accuracy: 90.56
Epoch: 221|train loss: 0.3331|train accuracy: 91.70|test accuracy: 90.41
Epoch: 222|train loss: 0.3080|train accuracy: 91.93|test accuracy: 90.45
Epoch: 223|train loss: 0.3212|train accuracy: 90.63|test accuracy: 89.97
Epoch: 224|train loss: 0.3011|train accuracy: 91.62|test accuracy: 90.07
Epoch: 225|train loss: 0.2732|train accuracy: 91.90|test accuracy: 90.52
Epoch: 226|train loss: 0.2776|train accuracy: 92.49|test accuracy: 90.20
Epoch: 227|train loss: 0.3242|train accuracy: 92.13|test accuracy: 90.07
Epoch: 228|train loss: 0.3368|train accuracy: 91.47|test accuracy: 90.56
Epoch: 229|train loss: 0.3001|train accuracy: 91.82|test accuracy: 90.90
Epoch: 230|train loss: 0.3154|train accuracy: 91.10|test accuracy: 88.22
Epoch: 231|train loss: 0.2897|train accuracy: 92.00|test accuracy: 90.05
Epoch: 232|train loss: 0.2937|train accuracy: 91.72|test accuracy: 90.83
Epoch: 233|train loss: 0.2960|train accuracy: 92.08|test accuracy: 90.56
Epoch: 234|train loss: 0.3784|train accuracy: 90.29|test accuracy: 89.50
Epoch: 235|train loss: 0.2771|train accuracy: 91.79|test accuracy: 90.96
Epoch: 236|train loss: 0.2816|train accuracy: 92.80|test accuracy: 90.56
Epoch: 237|train loss: 0.2656|train accuracy: 91.78|test accuracy: 91.05
Epoch: 238|train loss: 0.2641|train accuracy: 92.41|test accuracy: 90.96
Epoch: 239|train loss: 0.3670|train accuracy: 91.98|test accuracy: 89.08
Epoch: 240|train loss: 0.2837|train accuracy: 91.51|test accuracy: 90.67
Epoch: 241|train loss: 0.2714|train accuracy: 92.67|test accuracy: 86.06
Epoch: 242|train loss: 0.3050|train accuracy: 90.88|test accuracy: 90.69
Epoch: 243|train loss: 0.2812|train accuracy: 91.94|test accuracy: 90.69
Epoch: 244|train loss: 0.2821|train accuracy: 92.52|test accuracy: 86.91
Epoch: 245|train loss: 0.2835|train accuracy: 91.45|test accuracy: 90.58
Epoch: 246|train loss: 0.3254|train accuracy: 91.39|test accuracy: 90.48
Epoch: 247|train loss: 0.3295|train accuracy: 91.57|test accuracy: 88.05
Epoch: 248|train loss: 0.3056|train accuracy: 91.35|test accuracy: 89.31
Epoch: 249|train loss: 0.2944|train accuracy: 91.32|test accuracy: 89.44
Epoch: 250|train loss: 0.2646|train accuracy: 92.14|test accuracy: 91.30
Epoch: 251|train loss: 0.2635|train accuracy: 92.62|test accuracy: 91.38
Epoch: 252|train loss: 0.2398|train accuracy: 92.94|test accuracy: 91.00
Epoch: 253|train loss: 0.3069|train accuracy: 92.16|test accuracy: 86.97
Epoch: 254|train loss: 0.3269|train accuracy: 91.26|test accuracy: 90.98
Epoch: 255|train loss: 0.2616|train accuracy: 92.20|test accuracy: 91.21
Epoch: 256|train loss: 0.3397|train accuracy: 91.95|test accuracy: 90.24
Epoch: 257|train loss: 0.2615|train accuracy: 92.05|test accuracy: 90.98
Epoch: 258|train loss: 0.2825|train accuracy: 92.63|test accuracy: 89.86
Epoch: 259|train loss: 0.2487|train accuracy: 92.47|test accuracy: 91.32
Epoch: 260|train loss: 0.2589|train accuracy: 92.92|test accuracy: 91.57
Epoch: 261|train loss: 0.2574|train accuracy: 92.75|test accuracy: 91.02
Epoch: 262|train loss: 0.2634|train accuracy: 92.45|test accuracy: 90.88
Epoch: 263|train loss: 0.2514|train accuracy: 92.37|test accuracy: 91.00
Epoch: 264|train loss: 0.2484|train accuracy: 92.95|test accuracy: 90.79
Epoch: 265|train loss: 0.2504|train accuracy: 93.28|test accuracy: 90.56
Epoch: 266|train loss: 0.3097|train accuracy: 91.61|test accuracy: 90.45
Epoch: 267|train loss: 0.2560|train accuracy: 92.84|test accuracy: 89.84
Epoch: 268|train loss: 0.3099|train accuracy: 90.68|test accuracy: 90.39
Epoch: 269|train loss: 0.2481|train accuracy: 92.52|test accuracy: 90.48
Epoch: 270|train loss: 0.2679|train accuracy: 92.42|test accuracy: 90.75
Epoch: 271|train loss: 0.2694|train accuracy: 92.41|test accuracy: 89.46
Epoch: 272|train loss: 0.4147|train accuracy: 90.33|test accuracy: 88.36
Epoch: 273|train loss: 0.3371|train accuracy: 91.43|test accuracy: 89.36
Epoch: 274|train loss: 0.2771|train accuracy: 91.73|test accuracy: 90.81
Epoch: 275|train loss: 0.2983|train accuracy: 91.90|test accuracy: 89.80
Epoch: 276|train loss: 0.2752|train accuracy: 92.90|test accuracy: 91.13
Epoch: 277|train loss: 0.2691|train accuracy: 92.05|test accuracy: 90.37
Epoch: 278|train loss: 0.2816|train accuracy: 92.23|test accuracy: 91.00
Epoch: 279|train loss: 0.2780|train accuracy: 92.25|test accuracy: 90.10
Epoch: 280|train loss: 0.3487|train accuracy: 90.82|test accuracy: 89.80
Epoch: 281|train loss: 0.3195|train accuracy: 92.10|test accuracy: 90.75
Epoch: 282|train loss: 0.3105|train accuracy: 91.01|test accuracy: 90.77
Epoch: 283|train loss: 0.2922|train accuracy: 92.23|test accuracy: 90.69
Epoch: 284|train loss: 0.3116|train accuracy: 92.26|test accuracy: 89.46
Epoch: 285|train loss: 0.3519|train accuracy: 90.36|test accuracy: 90.83
Epoch: 286|train loss: 0.2879|train accuracy: 92.41|test accuracy: 90.73
Epoch: 287|train loss: 0.2672|train accuracy: 92.23|test accuracy: 90.77
Epoch: 288|train loss: 0.2533|train accuracy: 92.51|test accuracy: 91.00
Epoch: 289|train loss: 0.2884|train accuracy: 92.43|test accuracy: 90.77
Epoch: 290|train loss: 0.3239|train accuracy: 91.50|test accuracy: 90.24
Epoch: 291|train loss: 0.3061|train accuracy: 91.96|test accuracy: 89.67
Epoch: 292|train loss: 0.3071|train accuracy: 90.66|test accuracy: 90.92
Epoch: 293|train loss: 0.3034|train accuracy: 92.37|test accuracy: 90.67
Epoch: 294|train loss: 0.2827|train accuracy: 91.71|test accuracy: 90.45
Epoch: 295|train loss: 0.2408|train accuracy: 92.69|test accuracy: 91.21
Epoch: 296|train loss: 0.2584|train accuracy: 93.07|test accuracy: 91.43
Epoch: 297|train loss: 0.2430|train accuracy: 92.72|test accuracy: 91.38
Epoch: 298|train loss: 0.2774|train accuracy: 93.26|test accuracy: 90.43
Epoch: 299|train loss: 0.3023|train accuracy: 91.39|test accuracy: 90.07
Epoch: 300|train loss: 0.2872|train accuracy: 91.98|test accuracy: 90.69
