Epoch:   1|train loss: 4.7924|train accuracy: 25.84|test accuracy: 32.95
Epoch:   2|train loss: 3.4962|train accuracy: 31.97|test accuracy: 38.71
Epoch:   3|train loss: 2.8868|train accuracy: 37.19|test accuracy: 44.48
Epoch:   4|train loss: 2.4514|train accuracy: 41.53|test accuracy: 48.30
Epoch:   5|train loss: 2.1123|train accuracy: 45.71|test accuracy: 52.21
Epoch:   6|train loss: 1.8956|train accuracy: 49.20|test accuracy: 54.28
Epoch:   7|train loss: 1.7356|train accuracy: 52.04|test accuracy: 57.93
Epoch:   8|train loss: 1.6051|train accuracy: 54.59|test accuracy: 59.66
Epoch:   9|train loss: 1.5248|train accuracy: 56.54|test accuracy: 60.82
Epoch:  10|train loss: 1.4402|train accuracy: 58.08|test accuracy: 61.90
Epoch:  11|train loss: 1.3769|train accuracy: 59.64|test accuracy: 62.13
Epoch:  12|train loss: 1.3247|train accuracy: 60.66|test accuracy: 64.75
Epoch:  13|train loss: 1.2850|train accuracy: 62.13|test accuracy: 64.98
Epoch:  14|train loss: 1.2282|train accuracy: 62.81|test accuracy: 67.12
Epoch:  15|train loss: 1.1791|train accuracy: 64.07|test accuracy: 67.75
Epoch:  16|train loss: 1.1356|train accuracy: 65.11|test accuracy: 67.81
Epoch:  17|train loss: 1.1351|train accuracy: 66.03|test accuracy: 69.88
Epoch:  18|train loss: 1.0821|train accuracy: 66.54|test accuracy: 70.14
Epoch:  19|train loss: 1.0725|train accuracy: 66.91|test accuracy: 69.93
Epoch:  20|train loss: 1.0470|train accuracy: 67.81|test accuracy: 71.28
Epoch:  21|train loss: 1.0266|train accuracy: 68.31|test accuracy: 71.76
Epoch:  22|train loss: 1.0027|train accuracy: 69.20|test accuracy: 72.00
Epoch:  23|train loss: 1.0028|train accuracy: 69.26|test accuracy: 70.39
Epoch:  24|train loss: 0.9648|train accuracy: 69.71|test accuracy: 72.00
Epoch:  25|train loss: 0.9532|train accuracy: 70.17|test accuracy: 72.23
Epoch:  26|train loss: 0.9259|train accuracy: 71.02|test accuracy: 72.61
Epoch:  27|train loss: 0.9135|train accuracy: 71.22|test accuracy: 73.20
Epoch:  28|train loss: 0.9370|train accuracy: 71.31|test accuracy: 74.38
Epoch:  29|train loss: 0.9106|train accuracy: 71.91|test accuracy: 73.31
Epoch:  30|train loss: 0.8952|train accuracy: 72.16|test accuracy: 74.51
Epoch:  31|train loss: 0.8662|train accuracy: 72.58|test accuracy: 74.30
Epoch:  32|train loss: 0.8645|train accuracy: 72.78|test accuracy: 75.35
Epoch:  33|train loss: 0.8786|train accuracy: 73.29|test accuracy: 75.08
Epoch:  34|train loss: 0.8969|train accuracy: 73.16|test accuracy: 75.95
Epoch:  35|train loss: 0.8436|train accuracy: 73.76|test accuracy: 76.71
Epoch:  36|train loss: 0.8498|train accuracy: 73.97|test accuracy: 74.97
Epoch:  37|train loss: 0.8191|train accuracy: 74.10|test accuracy: 76.81
Epoch:  38|train loss: 0.8252|train accuracy: 74.50|test accuracy: 76.83
Epoch:  39|train loss: 0.8261|train accuracy: 74.47|test accuracy: 77.34
Epoch:  40|train loss: 0.7968|train accuracy: 74.84|test accuracy: 77.09
Epoch:  41|train loss: 0.8018|train accuracy: 74.87|test accuracy: 78.04
Epoch:  42|train loss: 0.8198|train accuracy: 75.28|test accuracy: 77.68
Epoch:  43|train loss: 0.7767|train accuracy: 75.73|test accuracy: 78.16
Epoch:  44|train loss: 0.7789|train accuracy: 75.90|test accuracy: 78.12
Epoch:  45|train loss: 0.7630|train accuracy: 76.06|test accuracy: 77.38
Epoch:  46|train loss: 0.7682|train accuracy: 76.22|test accuracy: 78.39
Epoch:  47|train loss: 0.7444|train accuracy: 76.18|test accuracy: 78.06
Epoch:  48|train loss: 0.7337|train accuracy: 76.46|test accuracy: 77.89
Epoch:  49|train loss: 0.7637|train accuracy: 76.72|test accuracy: 78.99
Epoch:  50|train loss: 0.7344|train accuracy: 76.91|test accuracy: 79.41
Epoch:  51|train loss: 0.7535|train accuracy: 76.91|test accuracy: 78.78
Epoch:  52|train loss: 0.7168|train accuracy: 77.23|test accuracy: 79.56
Epoch:  53|train loss: 0.7221|train accuracy: 77.24|test accuracy: 79.49
Epoch:  54|train loss: 0.7253|train accuracy: 77.55|test accuracy: 79.11
Epoch:  55|train loss: 0.7156|train accuracy: 77.56|test accuracy: 80.11
Epoch:  56|train loss: 0.7111|train accuracy: 77.77|test accuracy: 79.73
Epoch:  57|train loss: 0.7123|train accuracy: 77.83|test accuracy: 79.85
Epoch:  58|train loss: 0.6909|train accuracy: 78.02|test accuracy: 79.96
Epoch:  59|train loss: 0.6812|train accuracy: 78.33|test accuracy: 79.49
Epoch:  60|train loss: 0.6841|train accuracy: 78.38|test accuracy: 79.98
